Keff: 0.06198189925438026	Ms:1.373477753671621
H(kOe) moment(emu) M(MA/m) M_norm()
5.210185 7.872633e-05 1.138358513718818 1.0135012728173332
5.159982 7.774499e-05 1.1241686392022128 1.0008677696543307
5.1099250000000005 7.659233e-05 1.1075015301876923 0.9860287395976062
5.059814 7.768135e-05 1.1232484243793823 1.0000484856739638
5.010020000000001 7.828441e-05 1.1319684864638624 1.0078121154225526
4.960166 7.845164e-05 1.134386580819959 1.009964988773225
4.910482 7.774298e-05 1.1241395752205363 1.0008418934632475
4.86037 7.899047e-05 1.1421778968631064 1.0169017390425716
4.810129 7.879573e-05 1.1393620163697362 1.014394709464685
4.760020000000001 7.752192e-05 1.1209431156238212 0.9979960273931667
4.710274 7.817226e-05 1.130346831963855 1.0063683269499226
4.660389 7.843318e-05 1.1341196548986916 1.0097273397745201
4.61 7.724131e-05 1.1168855813460943 0.9943835308857685
4.560161 7.945716e-05 1.148926090698224 1.0229097786528407
4.510018 7.77808e-05 1.12468644078621 1.0013287778148738
4.459703 7.956567e-05 1.1504951119179812 1.0243067067595286
4.409822 7.865515e-05 1.1373292728154694 1.0125849209360864
4.3599440000000005 7.761391e-05 1.1222732627255212 0.9991802815313496
4.309916 7.761837e-05 1.12233775295352 0.9992376983533553
4.2600739999999995 7.746402e-05 1.1201058994352306 0.9972506386052462
4.20985 7.849024e-05 1.1349447249456859 1.0104619146318385
4.160027 7.906187e-05 1.1432103188987774 1.0178209231437376
4.109722 7.644701e-05 1.1054002476915614 0.9841579296034679
4.059539 7.727888e-05 1.1174288319886736 0.9948671968056677
4.009545999999999 7.665921e-05 1.1084685944138224 0.9868897344531523
3.9596329999999997 7.612646e-05 1.1007651933003233 0.9800312564434008
3.909602 7.535496e-05 1.0896095406319712 0.970099176134582
3.859737 7.740164e-05 1.119203903824794 0.996447575520782
3.809583 7.711259e-05 1.1150243297434108 0.9927264247582881
3.759539 7.526566e-05 1.0883182901027633 0.9689495523217789
3.709813 7.727884e-05 1.1174282536009785 0.9948666818565916
3.6600010000000003 7.632872e-05 1.1036898106803634 0.9826350964476286
3.60974 7.702798e-05 1.113800895171448 0.9916371787246792
3.559454 7.629649e-05 1.1032237747950735 0.982220176229413
3.509342 7.539769e-05 1.0902274032872126 0.9706492704853219
3.459303 7.672797e-05 1.10946284286162 0.9877749319152835
3.409492 7.384706e-05 1.0678057704976769 0.9506868833313832
3.3595 7.596818e-05 1.098476513190995 0.9779936029485469
3.309529 7.654816e-05 1.106862845575429 0.98546010708012
3.2595300000000003 7.587702e-05 1.097158367633967 0.9768200340036964
3.209555 7.49912e-05 1.084349682933151 0.9654162292348595
3.159501 7.522033e-05 1.0876628322473434 0.9683659862810805
3.109305 7.441478e-05 1.0760148270535768 0.9579955555710755
3.0591619999999997 7.55436e-05 1.0923372170018455 0.9725276759783352
3.009176 7.573904e-05 1.0951632192798788 0.9750437171650566
2.959058 7.576602e-05 1.0955533417801926 0.9753910503170098
2.909139 7.61926e-05 1.101721557354095 0.9808827247410358
2.858953 7.506357e-05 1.0853961308704272 0.9663479008511253
